"type","count_1","rate_1","count_2","rate_2","count_3","rate_3","count_4","rate_4","count_5","rate_5","count_6","rate_6","count_7","rate_7","count_8","rate_8","count_9","rate_9","count_10","rate_10","count_11","rate_11","count_12","rate_12","count_13","rate_13","count_14","rate_14","count_15","rate_15","count_16","rate_16"
"CH_0","646","0.072600584400989","1191","0.133850303438975","1366","0.153517644414475","1124","0.126320521465498","741","0.0832771409305462","912","0.102656461053579","747","0.0966364812419146","275","0.0928426738690074","95","0.0912584053794428","27","0.0701298701298701","6","0.0397350993377483","3","0.0535714285714286","0","0","1","0.142857142857143","1","0.25","1","0.5"
"SI_0","1850","0.20791189031243","1535","0.17251067655653","1262","0.141829624634749","1043","0.117217352213981","761","0.0855248370420319","533","0.059995497523638","904","0.116946959896507","399","0.134706279540851","124","0.11911623439001","40","0.103896103896104","21","0.139072847682119","5","0.0892857142857143","3","0.157894736842105","0","0","0","0","0","0"
"SL_0","1306","0.146774556080018","1299","0.145987862440998","1149","0.129130141604855","1063","0.119465048325466","805","0.0904697684873005","620","0.069788383610986","942","0.121862871927555","361","0.12187711006077","123","0.118155619596542","48","0.124675324675325","27","0.178807947019868","11","0.196428571428571","3","0.157894736842105","0","0","0","0","0","0"
"CU_0","875","0.0983367048775006","743","0.0835019105416948","705","0.0792312879298719","663","0.0745111260957518","483","0.0542818610923803","557","0.0626969833408375","364","0.0470892626131953","118","0.0398379473328832","42","0.0403458213256484","15","0.038961038961039","4","0.0264900662251656","2","0.0357142857142857","1","0.0526315789473684","0","0","0","0","0","0"
"FC_0","548","0.0615868734547089","673","0.0756349741514947","619","0.0695661946504832","462","0.0519217801753203","343","0.0385479883119802","281","0.0316298964430437","423","0.0547218628719276","156","0.0526671168129642","45","0.0432276657060519","15","0.038961038961039","9","0.0596026490066225","2","0.0357142857142857","1","0.0526315789473684","0","0","0","0","0","0"
"FF_1","0","0","0","0","287","0.0322544391998202","621","0.0697909642616318","1379","0.154978646886941","1920","0.216118865375957","891","0.115265200517464","345","0.116475354490209","134","0.128722382324688","50","0.12987012987013","23","0.152317880794702","9","0.160714285714286","4","0.210526315789474","3","0.428571428571429","1","0.25","0","0"
"KC_0","281","0.0315801303663745","234","0.026298044504383","201","0.0225893459204316","165","0.0185434929197572","138","0.0155091031692515","118","0.0132823052678973","122","0.0157826649417853","53","0.0178933153274814","14","0.0134486071085495","8","0.0207792207792208","3","0.0198675496688742","1","0.0178571428571429","0","0","0","0","1","0.25","0","0"
"FS_0","92","0.0103394021128343","154","0.0173072600584401","139","0.0156214879748258","114","0.0128118678354686","110","0.0123623286131715","95","0.0106933813597479","103","0.0133247089262613","38","0.012829169480081","14","0.0134486071085495","5","0.012987012987013","1","0.00662251655629139","2","0.0357142857142857","0","0","0","0","0","0","0","0"
"SL_1","0","0","0","0","82","0.00921555405709148","313","0.0351764441447516","614","0.0690042706226118","745","0.0838586222422332","309","0.039974126778784","116","0.0391627278865631","58","0.0557156580211335","22","0.0571428571428571","5","0.033112582781457","2","0.0357142857142857","2","0.105263157894737","0","0","0","0","0","0"
"SI_1","0","0","0","0","81","0.0091031692515172","275","0.0309058215329287","698","0.0784445942908519","820","0.0923007654209815","382","0.0494178525226391","132","0.0445644834571236","38","0.0365033621517771","25","0.0649350649350649","10","0.0662251655629139","4","0.0714285714285714","0","0","0","0","1","0.25","0","0"
"CU_1","0","0","0","0","59","0.00663070352888289","161","0.0180939536974601","253","0.0284333558102944","214","0.0240882485366952","88","0.0113842173350582","33","0.0111411208642809","15","0.0144092219020173","9","0.0233766233766234","1","0.00662251655629139","0","0","0","0","0","0","0","0","0","0"
"ST_0","71","0.00797932119577433","63","0.00708024275118004","58","0.00651831872330861","42","0.00472016183412003","37","0.0041582378062486","23","0.00258892390814948","40","0.00517464424320828","8","0.00270087778528022","4","0.00384245917387128","4","0.0103896103896104","0","0","0","0","0","0","0","0","0","0","0","0"
"CH_1","0","0","0","0","54","0.00606877950101146","144","0.0161834120026972","341","0.0383232187008316","450","0.0506528590724899","191","0.0247089262613195","87","0.0293720459149223","40","0.0384245917387128","16","0.0415584415584416","5","0.033112582781457","0","0","0","0","1","0.142857142857143","0","0","0","0"
"FC_1","0","0","0","0","32","0.00359631377837716","112","0.0125870982243201","228","0.0256237356709373","339","0.0381584871679424","140","0.018111254851229","52","0.0175557056043214","21","0.0201729106628242","7","0.0181818181818182","1","0.00662251655629139","2","0.0357142857142857","1","0.0526315789473684","0","0","0","0","0","0"
"KC_1","0","0","0","0","18","0.00202292650033715","36","0.00404585300067431","101","0.0113508653630029","85","0.00956776226924809","39","0.00504527813712807","16","0.00540175557056043","2","0.00192122958693564","1","0.0025974025974026","0","0","1","0.0178571428571429","0","0","0","0","0","0","0","0"
"SV_0","11","0.00123623286131715","7","0.000786693639020005","10","0.00112384805574286","7","0.000786693639020005","7","0.000786693639020005","4","0.00045024763619991","7","0.000905562742561449","2","0.000675219446320054","1","0.000960614793467819","1","0.0025974025974026","0","0","0","0","0","0","0","0","0","0","0","0"
"KN_0","8","0.000899078444594291","8","0.000899078444594291","8","0.000899078444594291","6","0.000674308833445718","4","0.000449539222297145","2","0.000225123818099955","6","0.000776196636481242","2","0.000675219446320054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FS_1","0","0","0","0","7","0.000786693639020005","30","0.00337154416722859","53","0.00595639469543718","58","0.00652859072489869","29","0.003751617076326","17","0.00573936529372046","3","0.00288184438040346","0","0","1","0.00662251655629139","0","0","0","0","0","0","0","0","0","0"
"ST_1","0","0","0","0","7","0.000786693639020005","11","0.00123623286131715","39","0.00438300741739717","33","0.00371454299864926","10","0.00129366106080207","4","0.00135043889264011","2","0.00192122958693564","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SV_1","0","0","0","0","0","0","3","0.000337154416722859","3","0.000337154416722859","5","0.000562809545249887","0","0","1","0.000337609723160027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KN_1","0","0","0","0","0","0","0","0","3","0.000337154416722859","5","0.000562809545249887","2","0.000258732212160414","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
